 m_pricelist_version_id | count 
              230033388 |     4
              230033389 |     3
              230033390 |     4
              230033391 |     2
              230033392 |    15
              230033393 |     4
              230033394 |     1
              230033395 |     9
              230033396 |     9
              230033397 |    39
              230033398 |     7
              230033399 |    19
              230033400 |     9
              230033401 |     4
              230033402 |     1
              230033403 |     4
              230033404 |    10
              230033405 |    10
              230033406 |     3
              230033407 |     3
              230033408 |     5
              230033409 |     5
              230033410 |     2
              230033411 |    27
              230033412 |    27
              230033413 |    16
              230033414 |     6
              230033415 |     6
              230033416 |     2
              230033417 |     2
              230033418 |     4
              230033419 |     4
              230033420 |    42
              230033421 |    42
              230033422 |     2
              230033423 |     1
              230033424 |     6
              230033425 |    13
              230033426 |     1
              230033427 |     1
              230033428 |     4
              230033429 |     1
              290010100 |    13
              290010101 |    13
(1244 rows)

